iter	RMSE
0	83575.73429
1	83000.32252	2	82405.932133	81833.8708344	81268.361575	81090.73796
6	80531.78509
77	79616.192218	79441.30229
9	78887.98265
10	78347.09951
11	77806.99348
12	77281.74066
13	76771.78284
14	76249.53838
15	75746.63763
116	74928.33075117	74436.50878118	73947.19521919	73444.05062020	72970.37172121	72519.44572222	72058.7572223	71616.65163224	71159.96819225	70710.01827226	70266.39351227	69811.72808228	69384.89202229	68951.87897330	68528.51713131	68110.3109332	67722.85056333	67311.45423434	66900.43153535	66497.2054336	66106.11324337	65710.19607338	65317.19195339	64956.04513440	64565.21216441	64198.55661442	63831.07686443	63462.3173
44	63116.16207
45	62738.9138
46	62369.51137
47	62023.19779
48	61681.5596
49	61349.20703
50	61021.00937
51	60692.43371
52	60363.0952
53	60034.79622
54	59728.34962
55	59392.89036
56	59086.29379
57	58787.98495
58	58498.13542
59	58196.59777
60	57897.05622
61	57613.07548
62	57322.11174
63	57031.68948
64	56749.03509
65	56455.02738
66	56180.52407
67	55910.02097
68	55653.42087
69	55388.41585
70	55139.08353
71	54880.58312
72	54601.23319
73	54363.48101
74	54121.8354
75	53879.43889
76	53636.68417
77	53398.29815
78	53162.10184
79	52944.34988
80	52719.66035
81	52488.97382
82	52246.11401
83	52029.31201
84	51783.13546
85	51566.97193
86	51348.20113
87	51132.84594
88	50925.61007
89	50722.86302
90	50517.80083
91	50302.84601
92	50124.7575
93	49923.86378
94	49727.43384
95	49536.22944
96	49346.44364
97	49160.19685
98	48965.07173
99	48775.70847
100	48593.72458
101	48420.66671
102	48255.31807
103	48081.95649
104	47911.21445
105	47752.45801
106	47583.85336
107	47420.04989
108	47249.49006
109	47107.1112
110	46958.3033
111	46780.6519
112	46640.81997
113	46492.61925
114	46330.61821
115	46156.75616
116	46018.7585
117	45871.1806
118	45732.38133
119	45583.93475
120	45438.13561
121	45292.75872
122	45164.63439
123	45022.53526
124	44875.97208
125	44756.46343
126	44615.82428
127	44486.54371
128	44365.94186
129	44230.97683
130	44101.51668
131	43966.31413
132	43846.22632
133	43730.21337
134	43622.92055
135	43515.19056
136	43388.17385
137	43263.26864
138	43142.65672
139	43015.39784
140	42906.68512
141	42769.05299
142	42655.8227
143	42532.76382
144	42421.75189
145	42321.0455
146	42206.3349
147	42085.34196
148	41991.58046
149	41894.23931
150	41792.88723
151	41696.71588
152	41576.57336
153	41472.80256
154	41387.99373
155	41283.74523
156	41184.76019
157	41061.42789
158	40955.19506
159	40858.42485
160	40759.08712
161	40672.10785
162	40575.18401
163	40467.61782
164	40356.61007
165	40262.30808
166	40172.70992
167	40089.9411
168	39985.182
169	39892.16239
170	39800.00585
171	39716.8115
172	39611.62543
173	39514.08148
174	39419.8136
175	39324.0352
176	39251.65092
177	39179.92691
178	39107.23106
179	39022.86326
180	38940.07567
181	38868.75605
182	38792.33158
183	38730.75873
184	38645.343
185	38580.61272
186	38502.28261
187	38422.48144
188	38342.3098
189	38272.82766
190	38199.93243
191	38112.57641
192	38048.37785
193	37961.39312
194	37893.90286
195	37809.60102
196	37745.38405
197	37682.52802
198	37624.98108
199	37562.23738
9	37612.98375
