iter	Passed	Remaining
0	154	30708
1	164	16271
2	172	11313
3	181	8914
4	190	7443
5	197	6391
6	210	5801
7	219	5270
8	231	4908
9	241	4582
10	248	4272
11	257	4041
12	265	3816
13	274	3642
14	288	3561
15	299	3446
16	317	3418
17	328	3324
18	340	3247
19	349	3148
20	360	3073
21	369	2988
22	379	2919
23	386	2837
24	395	2767
25	402	2695
26	410	2632
27	420	2583
28	430	2540
29	439	2490
30	446	2433
31	454	2385
32	461	2337
33	470	2297
34	478	2255
35	486	2214
36	493	2174
37	501	2140
38	510	2106
39	517	2071
40	529	2053
41	539	2028
42	547	1999
43	558	1980
44	567	1953
45	574	1923
46	583	1900
47	597	1890
48	609	1879
49	622	1868
50	634	1853
51	644	1833
52	657	1823
53	669	1811
54	679	1792
55	691	1778
56	705	1769
57	716	1754
58	726	1737
59	741	1729
60	752	1714
61	761	1694
62	769	1672
63	776	1649
64	786	1633
65	797	1618
66	805	1598
67	816	1585
68	824	1564
69	839	1559
70	848	1541
71	856	1522
72	867	1508
73	879	1496
74	889	1481
75	899	1468
76	908	1451
77	917	1435
78	929	1423
79	939	1408
80	947	1392
81	956	1376
82	969	1366
83	978	1350
84	985	1333
85	995	1319
86	1002	1302
87	1010	1285
88	1017	1268
89	1025	1253
90	1032	1237
91	1040	1221
92	1050	1209
93	1060	1195
94	1066	1179
95	1074	1163
96	1080	1147
97	1087	1132
98	1097	1119
99	1104	1104
100	1113	1091
101	1120	1076
102	1128	1063
103	1136	1049
104	1144	1035
105	1150	1020
106	1159	1007
107	1167	994
108	1175	981
109	1183	967
110	1191	955
111	1198	941
112	1207	929
113	1214	916
114	1221	903
115	1229	890
116	1235	876
117	1244	864
118	1253	853
119	1260	840
120	1267	827
121	1277	816
122	1285	804
123	1293	792
124	1301	780
125	1309	769
126	1316	756
127	1325	745
128	1332	733
129	1340	721
130	1347	709
131	1355	698
132	1362	686
133	1369	674
134	1376	662
135	1386	652
136	1394	641
137	1404	630
138	1411	619
139	1419	608
140	1426	596
141	1437	587
142	1445	576
143	1455	566
144	1464	555
145	1472	544
146	1478	533
147	1487	522
148	1495	511
149	1502	500
150	1510	490
151	1519	479
152	1527	469
153	1536	458
154	1543	448
155	1552	437
156	1560	427
157	1569	417
158	1577	406
159	1585	396
160	1592	385
161	1600	375
162	1607	364
163	1615	354
164	1623	344
165	1631	334
166	1638	323
167	1646	313
168	1654	303
169	1664	293
170	1671	283
171	1679	273
172	1687	263
173	1695	253
174	1702	243
175	1709	233
176	1720	223
177	1736	214
178	1742	204
179	1748	194
180	1754	184
181	1758	173
182	1763	163
183	1769	153
184	1774	143
185	1779	133
186	1784	124
187	1789	114
188	1794	104
189	1798	94
190	1803	84
191	1808	75
192	1813	65
193	1818	56
194	1823	46
195	1828	37
196	1833	27
197	1838	18
198	1847	9
199	1852	0
